,name,salary,type,address,url,schedule,work_format,experience
134,"Product Owner (Crypto), Product Manager",from 250000 to 400000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129490554?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
135,Аналитик-разработчик (Дашборды и BI-решения),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129744402?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
136,Финансовый аналитик / Data Analyst,No Info,Анонимная,No Info,https://api.hh.ru/vacancies/129876491?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
137,Аналитик данных,from 80000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130237799?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
138,Финансовый аналитик,from 130000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130198435?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
139,Операционный руководитель VOIS Community (Департамент бренда),from 180000 to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130248936?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
140,Младший аналитик данных / Junior BI-аналитик ( Москва),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129932649?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
141,Аналитик данных / Data аналитик (Онлайн - университет),from 80000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130000002?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
142,Бренд менеджер,from 259000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130208356?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
143,Data-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130131095?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
144,Бизнес-аналитик (Управление данными),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129989833?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
145,Data Engineer (Middle/Senior),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616256?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
146,Администратор сайта / IT-ассистент,from 60000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129808116?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
147,Директор по маркетингу (услуги B2C),from 800000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129672644?host=hh.ru,Полный день,Гибрид,Более 6 лет
148,Data аналитик (python),from 150000 to 260000 in RUR,Анонимная,No Info,https://api.hh.ru/vacancies/129863598?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
149,"Senior Business analyst, Efficiency Partner",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130213280?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
150,Senior Project Manager (ProdOps),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130137358?host=hh.ru,Удаленная работа,На месте работодателя,Более 6 лет
